cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io,time,scheduler_PRIORITY,scheduler_RR,resource_CPU,resource_IO,resource_MEM
-2.837959449607237,-2.1165484772479655,-1.5703965880339459,0.0,0.0,0.0,1.7040500643112992,0.8348457315773108,0.5600302596034362,1.7471153281491891,0.8743228257907867,0.5933978292640806,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.4382298528370914,-1.9474563862636594,-1.544085376269083,-0.2435977557733279,3.153472138558718,0.0,1970-01-01 00:00:00,False,True,False,True,False
-2.998678629442599,-2.6844193137686947,-2.0536342212939083,0.0,0.0,0.0,0.2723470533388935,-0.13428029491423582,-0.1830166033604575,0.27160227374220985,-0.1355791287624796,-0.18139546569680887,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-2.454077722369756,-2.425102765008623,-1.8746340108157828,-1.0703095401606117,3.044744960292767,0.0,1970-01-01 00:00:00,True,False,False,True,False
-2.674976619351659,-2.5664769092605435,-2.018723517750413,0.0,0.0,0.0,-0.32311925229113914,-0.30018734785552775,-0.27921463472631874,-0.32170747577970815,-0.2986493321473275,-0.2761937041390824,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-2.487075100962464,-2.3100072520580293,-1.8056183618444936,-0.8636315940637908,-0.3257975659517104,0.0,1970-01-01 00:00:00,True,False,False,True,False
-2.987360377341517,-2.6822351951666916,-2.0517968158442508,0.0,0.0,0.0,0.8310126799885031,0.03620350431509178,-0.07686705150847267,0.8355914833168239,0.03567606552585484,-0.07565896897273455,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.8742666413835944,-2.2726012103490865,-1.8128831669993664,-0.7602926210153803,3.153472138558718,0.0,1970-01-01 00:00:01,True,False,False,True,False
-2.837959449607237,-2.1165484772479655,-1.5703965880339459,0.0,0.0,0.0,1.7040500643112992,0.8348457315773108,0.5600302596034362,1.7471153281491891,0.8743228257907867,0.5933978292640806,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.4382298528370914,-1.9474563862636594,-1.544085376269083,-1.1736485132090222,3.153472138558718,0.0,1970-01-01 00:00:01,False,True,False,True,False
-2.435029674808725,-2.5184263000164813,-2.007699085052467,0.0,0.0,0.0,-0.32311925229113914,-0.30075944114153225,-0.27921463472631874,-0.32170747577970815,-0.299278946832211,-0.2761937041390824,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-2.4493638111422262,-2.29849770076297,-1.798353556689621,-0.9669705671122013,-0.3257975659517104,0.0,1970-01-01 00:00:02,True,False,False,True,False
-2.987360377341517,-2.6822351951666916,-2.0517968158442508,0.0,0.0,0.0,0.8310126799885031,0.03620350431509178,-0.07686705150847267,0.8355914833168239,0.03567606552585484,-0.07565896897273455,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.8742666413835944,-2.2726012103490865,-1.8128831669993664,-1.1736485132090222,3.153472138558718,0.0,1970-01-01 00:00:02,True,False,False,True,False
-1.3167863672218436,-2.378642709488302,-2.0058616796028095,0.0,0.0,0.0,-0.32116176936664853,-0.28588501570541636,-0.2758974612309442,-0.32041392254673884,-0.2879458825043066,-0.27437066109211555,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.9638309547066604,-2.335903742471913,-1.8419423876188563,-0.45027570187014887,-0.3257975659517104,0.0,1970-01-01 00:00:02,True,False,False,True,False
-1.2398222529344873,-2.321855625836229,-1.9929998414552057,0.0,0.0,0.0,-0.32194476253644483,-0.2870292022774253,-0.2758974612309442,-0.3208451069577286,-0.2885754971891901,-0.27437066109211555,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.9638309547066604,-2.335903742471913,-1.8419423876188563,-0.5536146749185593,-0.3257975659517104,0.0,1970-01-01 00:00:03,True,False,False,True,False
-2.7723135874209626,-2.118732595849968,-1.5703965880339459,0.0,0.0,0.0,1.9749657010607948,0.9658550940723312,0.6562282909692974,2.0127249253188846,1.004653065561688,0.6900191107533209,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.4382298528370914,-1.9474563862636594,-1.544085376269083,-1.1736485132090222,2.9360177820268163,0.0,1970-01-01 00:00:03,False,True,False,True,False
-2.3625928613618017,-2.492216876792448,-2.000349463253836,0.0,0.0,0.0,-0.32311925229113914,-0.30075944114153225,-0.27921463472631874,-0.32170747577970815,-0.299278946832211,-0.2761937041390824,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-2.4493638111422262,-2.29849770076297,-1.798353556689621,-1.0703095401606117,-0.3257975659517104,0.0,1970-01-01 00:00:03,True,False,False,True,False
-2.976042125240435,-2.680051076564689,-2.048122004944935,0.0,0.0,0.0,1.2745783106780675,0.1969617176823436,0.025965326848137585,1.2585833904977841,0.19119089269209968,0.024608398610439387,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.8742666413835944,-2.2726012103490865,-1.8128831669993664,-1.1736485132090222,2.8272906037608654,0.0,1970-01-01 00:00:03,True,False,False,True,False
-2.7609953353198806,-2.1274690702579795,-1.5703965880339459,0.0,0.0,0.0,2.1898973261698598,1.0905714304213023,0.7507677355874712,2.1834739520708326,1.117983708840733,0.777525177007727,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-0.9385552627189361,-1.8007096072516526,-1.4823345324526664,-1.1736485132090222,3.044744960292767,0.0,1970-01-01 00:00:04,False,True,False,True,False
-2.976042125240435,-2.680051076564689,-2.048122004944935,0.0,0.0,0.0,1.2745783106780675,0.1969617176823436,0.025965326848137585,1.2585833904977841,0.19119089269209968,0.024608398610439387,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.8742666413835944,-2.2726012103490865,-1.8128831669993664,-1.1736485132090222,3.153472138558718,0.0,1970-01-01 00:00:04,True,False,False,True,False
-1.2398222529344873,-2.321855625836229,-1.9929998414552057,0.0,0.0,0.0,-0.32194476253644483,-0.2870292022774253,-0.2758974612309442,-0.3208451069577286,-0.2885754971891901,-0.27437066109211555,-0.06773130792926017,-0.12412579231435394,0.0,-0.06773130792926017,-0.12412579231435394,0.0,-1.9638309547066604,-2.335903742471913,-1.8419423876188563,-0.5536146749185593,-0.3257975659517104,0.0,1970-01-01 00:00:04,True,False,False,True,False
