time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
38000,12,1.14,0.81,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.84,3.39,1.66,6,0,0
39000,12,1.14,0.81,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.84,3.39,1.66,8,0,0
40000,12,1.12,0.82,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.84,3.39,1.66,8,0,0
41000,12,1.12,0.82,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.85,3.4,1.67,6,0,0
42000,12,1.09,0.82,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.85,3.4,1.67,5,0,0
43000,12,1.09,0.82,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.85,3.4,1.67,9,0,0
44000,12,1.26,0.86,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.85,3.4,1.67,5,0,0
45000,12,1.26,0.86,0.99,0,0,0,0,0.04,0.12,0,0.04,0.1,0,0,0,0,0,0,3.85,3.4,1.67,6,0,0
46000,12,1.39,0.9,1,0,0,0,0,0.04,0.11,0,0.04,0.09,0,0,0,0,0,0,3.87,3.41,1.68,5,0,0
47000,12,1.39,0.9,1,0,0,0,0,0.04,0.11,0,0.04,0.09,0,0,0,0,0,0,3.87,3.41,1.68,8,0,0
48000,12,1.32,0.9,1,0,0,0,0,0.04,0.11,0,0.04,0.09,0,0,0,0,0,0,3.87,3.41,1.68,6,0,0
49000,12,1.32,0.9,1,0,0,0,0,0.04,0.11,0,0.04,0.09,0,0,0,0,0,0,3.87,3.41,1.68,5,0,0
50000,12,1.44,0.94,1.01,0,0,0,0,0.03,0.11,0,0.03,0.09,0,0,0,0,0,0,3.87,3.41,1.68,6,0,0
51000,12,1.44,0.94,1.01,0,0,0,0,0.03,0.11,0,0.03,0.09,0,0,0,0,0,0,3.88,3.42,1.7,6,0,0
52000,12,1.54,0.97,1.02,0,0,0,0,0.03,0.11,0,0.03,0.09,0,0,0,0,0,0,3.88,3.42,1.7,5,0,0
53000,12,1.54,0.97,1.02,0,0,0,0,0.03,0.11,0,0.03,0.09,0,0,0,0,0,0,3.88,3.42,1.7,7,0,0
54000,12,1.62,1.01,1.02,0,0,0,0.36,0.1,0.12,0.18,0.06,0.1,0,0,0,0,0,0,3.88,3.42,1.7,7,0,0
55000,12,1.62,1.01,1.02,0,0,0,0.36,0.1,0.12,0.18,0.06,0.1,0,0,0,0,0,0,3.88,3.42,1.7,5,0,0
56000,12,1.51,1.01,1.02,0,0,0,0.29,0.09,0.12,0.14,0.06,0.1,0,0,0,0,0,0,3.89,3.43,1.71,6,0,0
57000,12,1.51,1.01,1.02,0,0,0,0.29,0.09,0.12,0.14,0.06,0.1,0,0,0,0,0,0,3.89,3.43,1.71,10,0,0
58000,12,1.42,1.01,1.02,0,0,0,0.24,0.09,0.12,0.12,0.06,0.1,0,0,0,0,0,0,3.89,3.43,1.71,6,0,0
59000,12,1.42,1.01,1.02,0,0,0,0.24,0.09,0.12,0.12,0.06,0.1,0,0,0,0,0,0,3.89,3.43,1.71,6,0,0
60000,12,1.34,1.01,1.02,0,0,0,0.19,0.09,0.12,0.09,0.06,0.09,0,0,0,0,0,0,3.89,3.43,1.71,10,0,0
