comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cpuUsage.sh[81913],-1,1,0.464,0.464,0.464,0.464,0.00,0
kworker/u49:14-[81193],2,7,0.478,0.007,0.068,0.177,39.57,0
Chrome_ChildIOT[60521/60516],60516,3,0.289,0.089,0.096,0.100,3.75,0
kworker/u49:6-b[77169],2,11,3.112,0.005,0.282,1.976,60.83,0
supertuxka:sh7[81761/81613],-1,1,0.039,0.039,0.039,0.039,0.00,0
gvfsd-trash[4241],3489,2,0.163,0.081,0.081,0.081,0.08,0
systemd-userwor[81185],656,2,0.126,0.035,0.063,0.090,43.07,0
ThreadPoolForeg[60513/60424],60424,106,101.412,0.009,0.956,3.299,7.88,0
libuv-worker[60369/60324],60324,95,3.075,0.006,0.032,0.224,12.71,0
ksoftirqd/7[73],2,21,0.167,0.004,0.007,0.013,5.16,0
gopls[61081/60896],60896,2,0.034,0.015,0.017,0.019,13.17,0
gopls[63377/60896],60896,45,33.008,0.008,0.733,4.453,16.17,0
kworker/u50:18-[81033],2,10,29.983,0.335,2.998,4.908,15.71,0
codium[60361],60330,5181,544.814,0.006,0.105,2.978,2.39,0
gnome-shell[3513],3228,15109,5467.255,0.006,0.361,19.912,1.22,0
postgres[38825],1,2,0.817,0.118,0.408,0.699,71.01,0
sed[81881],-1,1,2.000,2.000,2.000,2.000,0.00,0
JS Helper[81737/81732],-1,1,0.057,0.057,0.057,0.057,0.00,0
codium[60633/60557],60557,857,14.247,0.007,0.016,0.062,1.81,0
ksoftirqd/10[49],2,206,1.987,0.004,0.009,0.425,21.56,0
cat[81873],-1,2,0.926,0.014,0.463,0.911,96.81,0
supert:traceq0[81729/81613],-1,1,0.032,0.032,0.032,0.032,0.00,0
stress[81585],81576,8684,56959.445,0.005,6.559,917.886,4.32,0
gdbus[4209/4190],4190,24,1.672,0.007,0.069,0.199,20.74,0
libuv-worker[60625/60539],60539,30,0.599,0.006,0.019,0.041,9.85,0
ThreadPoolForeg[60337/60324],60324,3,0.083,0.021,0.027,0.035,15.46,0
cat[81865],-1,1,0.939,0.939,0.939,0.939,0.00,0
(sd-close)[81721],-1,1,0.648,0.648,0.648,0.648,0.00,0
perf[81577],81552,5341,344.700,0.000,0.064,4.004,5.93,0
gopls[60905/60896],60896,4,0.072,0.008,0.018,0.033,29.85,0
libuv-worker[60617/60544],60544,37,0.835,0.006,0.022,0.069,12.99,0
kworker/u53:0-t[70521],2,5,0.052,0.004,0.010,0.014,18.34,0
cpuUsage.sh[81857],-1,2,0.356,0.016,0.178,0.340,90.65,0
nfsrahead[81713],-1,1,1.507,1.507,1.507,1.507,0.00,0
ksoftirqd/2[25],2,11,0.249,0.007,0.022,0.060,23.76,0
scx-adapt[81561/81558],81558,97,16.483,0.006,0.169,2.927,24.83,0
ibus-engine-sim[4185],3663,137,4.207,0.007,0.030,0.112,7.21,0
cat[81841],-1,2,0.983,0.016,0.491,0.967,96.68,0
gmain[1449/1436],1436,16,0.828,0.028,0.051,0.088,7.91,0
codium[60593/60557],60557,6,0.621,0.009,0.103,0.318,50.18,0
cat[81833],-1,1,1.330,1.330,1.330,1.330,0.00,0
xdg-desktop-por[81689],-1,1,15.338,15.338,15.338,15.338,0.00,0
codium[60585/60516],60516,8,0.816,0.067,0.102,0.157,9.47,0
kworker/10:1H-k[289],2,40,0.689,0.008,0.017,0.043,7.33,0
systemd[1],0,34,16.204,0.055,0.476,3.252,23.25,0
cat[81825],-1,1,1.467,1.467,1.467,1.467,0.00,0
xdg-desktop-por[81681],-1,1,0.330,0.330,0.330,0.330,0.00,0
ThreadPoolForeg[60433/60431],60431,13,0.666,0.008,0.051,0.126,20.88,0
pool-2[81961/81662],81663,1,0.062,0.062,0.062,0.062,0.00,0
cat[81817],-1,2,1.114,0.017,0.557,1.096,96.79,0
kworker/u49:10-[74065],2,179,49.280,0.003,0.275,4.002,20.58,0
nfsrahead[81673],-1,1,0.593,0.593,0.593,0.593,0.00,0
Chrome_ChildIOT[60569/60544],60544,1213,43.058,0.008,0.035,0.336,1.92,0
ThreadPoolServi[60425/60424],60424,22,1.201,0.036,0.054,0.086,4.71,0
git[81953],-1,1,2.522,2.522,2.522,2.522,0.00,0
gvfsd-dnssd[17497],3489,10,0.924,0.015,0.092,0.115,10.16,0
cat[81809],-1,2,0.995,0.017,0.497,0.978,96.58,0
gdbus[81665/81662],81662,84,4.418,0.005,0.052,0.261,9.85,0
GpuWatchdog[60417/60361],60361,4,0.403,0.068,0.100,0.125,12.34,0
JS Helper[81945/81935],-1,1,0.029,0.029,0.029,0.029,0.00,0
cat[81801],-1,2,0.931,0.015,0.465,0.915,96.59,0
xdg-permission-[81657],81525,10,6.998,0.012,0.699,3.012,48.06,0
kworker/u49:17-[81225],2,28,13.165,0.003,0.470,2.998,32.94,0
kworker/u50:15-[80361],2,10,17.152,0.077,1.715,3.995,26.77,0
cat[81793],-1,1,1.363,1.363,1.363,1.363,0.00,0
kworker/u49:3-e[71457],2,247,52.729,0.003,0.213,4.662,17.59,0
git[81929],-1,1,4.954,4.954,4.954,4.954,0.00,0
kworker/u49:2-f[71449],2,219,59.352,0.003,0.271,4.754,17.67,0
tuned[1537],1,60,4.488,0.058,0.074,0.111,1.95,0
chronyd[961],1,2,0.248,0.100,0.124,0.147,18.68,0
cpuUsage.sh[81921],-1,2,0.472,0.015,0.236,0.457,93.56,0
kworker/10:0-ev[63401],2,518,6.362,0.005,0.012,0.062,1.50,0
JS Helper[3537/3513],3513,16,0.957,0.012,0.059,0.145,17.57,0
dbus-broker[953],952,435,11.069,0.004,0.025,0.202,6.59,0
sed[81858],-1,1,0.272,0.272,0.272,0.272,0.00,0
gvfsd-fuse[81714/81704],81704,49,3.387,0.007,0.069,0.574,26.97,0
gdbus[1034/973],973,4,0.330,0.054,0.082,0.110,18.86,0
napi/phy0-0[890],2,234,7.472,0.005,0.031,0.122,4.20,0
scx-adapt[81562/81558],81558,98,19.212,0.007,0.196,2.921,21.91,0
gdbus[3898/3826],3826,306,23.496,0.007,0.076,0.699,8.68,0
cpuUsage.sh[81842],-1,1,0.468,0.468,0.468,0.468,0.00,0
gvfsd[81698],81525,53,17.694,0.006,0.333,4.202,33.68,0
Xwayland[8914],3513,17499,1231.394,0.005,0.070,3.821,1.12,0
kthreadd[81690],2,2,0.015,0.004,0.007,0.011,42.82,0
codium[60442/60324],60324,130,4.162,0.010,0.032,0.071,2.75,0
kworker/5:1H-kb[290],2,77,2.045,0.008,0.026,0.058,5.51,0
kthreadd[2],0,8,0.392,0.020,0.049,0.085,14.01,0
cpuUsage.sh[81826],-1,1,0.469,0.469,0.469,0.469,0.00,0
kthreadd[81682],2,3,0.031,0.008,0.010,0.012,11.37,0
ThreadPoolForeg[60434/60431],60431,9,0.230,0.008,0.025,0.062,26.34,0
pool-4[81962/81652],81654,1,0.022,0.022,0.022,0.022,0.00,0
cpuUsage.sh[81818],-1,1,0.470,0.470,0.470,0.470,0.00,0
dconf worker[81674/81652],81652,62,2.294,0.006,0.037,0.376,25.21,0
codium[61002/60557],60557,3998,60.013,0.005,0.015,0.071,0.49,0
ThreadPoolForeg[60426/60424],60424,844,264.435,0.005,0.313,30.097,14.07,0
git[81954],-1,2,0.554,0.018,0.277,0.535,93.31,0
cpuUsage.sh[81810],-1,1,0.458,0.458,0.458,0.458,0.00,0
gsd-power[3714],3228,2,0.249,0.095,0.124,0.153,23.14,0
JS Helper[81946/81935],-1,1,0.028,0.028,0.028,0.028,0.00,0
cat[81802],-1,1,0.602,0.602,0.602,0.602,0.00,0
pool-spawner[81658/81657],81657,1,0.166,0.166,0.166,0.166,0.00,0
pool-1[3850/3768],3768,3,0.079,0.015,0.026,0.044,33.99,0
gmain[81938/81935],-1,1,3.611,3.611,3.611,3.611,0.00,0
cat[81794],-1,1,1.093,1.093,1.093,1.093,0.00,0
dbus-broker-lau[81650],81525,585,22.341,0.007,0.038,3.407,17.25,0
systemd-machine[970],1,10,0.489,0.010,0.048,0.108,23.04,0
codium[61978],60544,21,1.855,0.070,0.088,0.132,3.77,0
irq/9-acpi[106],2,2,0.080,0.032,0.040,0.047,19.30,0
git[81930],-1,1,1.375,1.375,1.375,1.375,0.00,0
cat[81786],-1,1,0.949,0.949,0.949,0.949,0.00,0
kworker/7:1H-kb[242],2,28,0.451,0.008,0.016,0.039,7.39,0
kworker/u50:10-[79482],2,8,0.950,0.006,0.118,0.431,47.65,0
cat[81922],-1,1,0.171,0.171,0.171,0.171,0.00,0
alsa-pipewire[81778/81613],-1,1,0.066,0.066,0.066,0.066,0.00,0
ibus-extension-[3826],3663,266,7.832,0.006,0.029,0.161,5.81,0
JS Helper[3538/3513],3513,12,0.571,0.007,0.047,0.098,21.43,0
kworker/u53:12[77178],2,5,0.062,0.008,0.012,0.019,16.01,0
gmain[4970/4967],4967,16,0.845,0.043,0.052,0.064,3.24,0
cat[81914],-1,1,1.055,1.055,1.055,1.055,0.00,0
kworker/u49:8-b[79474],2,43,16.473,0.004,0.383,3.000,29.10,0
gdbus[3818/3758],3758,43,4.692,0.008,0.109,0.587,13.20,0
cat[81906],-1,2,0.984,0.030,0.492,0.954,93.82,0
systemd-userwor[81186],656,2,0.083,0.037,0.041,0.045,8.86,0
ThreadPoolForeg[60514/60424],60424,40,15.972,0.009,0.399,1.996,21.08,0
codium[60370],60324,16,6.369,0.073,0.398,0.497,5.83,0
postgres[38834],38825,70,1.640,0.008,0.023,0.101,6.44,0
cat[81898],-1,1,1.334,1.334,1.334,1.334,0.00,0
dbus-broker[3370],3359,151,5.248,0.006,0.034,0.201,7.47,0
kworker/u50:11-[67106],2,1775,197.732,0.004,0.111,4.756,7.89,0
migration/5[66],2,25,0.295,0.006,0.011,0.023,10.02,0
cat[81890],-1,2,0.986,0.030,0.493,0.955,93.87,0
(sd-close)[81746],-1,1,0.601,0.601,0.601,0.601,0.00,0
kworker/u52:6-t[77146],2,27,0.423,0.006,0.015,0.031,7.96,0
cat[81882],-1,1,0.981,0.981,0.981,0.981,0.00,0
gopls[60922/60915],60915,3,0.427,0.009,0.142,0.407,92.93,0
gdbus[3786/3714],3714,4,0.422,0.040,0.105,0.168,31.18,0
codium[60346/60324],60324,7,0.723,0.060,0.103,0.136,10.08,0
cat[81874],-1,1,0.909,0.909,0.909,0.909,0.00,0
supertux:gdrv0[81730/81613],-1,1,0.032,0.032,0.032,0.032,0.00,0
stress[81586],81576,6144,57433.233,0.006,9.347,3166.622,7.84,0
libuv-worker[60626/60539],60539,24,0.608,0.007,0.025,0.045,10.12,0
mt76-tx phy0[1194],2,55,0.767,0.004,0.013,0.048,8.08,0
migration/8[42],2,19,0.181,0.006,0.009,0.022,9.43,0
DedicatedWorker[77130/60424],60424,4,0.658,0.016,0.164,0.277,33.79,0
cat[81866],-1,1,0.946,0.946,0.946,0.946,0.00,0
supertuxka:cs0[81722/81613],-1,1,0.029,0.029,0.029,0.029,0.00,0
grep[81578],81552,114,1.438,0.005,0.012,0.045,6.16,0
codium[60618/60544],60544,781,13.799,0.007,0.017,0.053,1.64,0
abrt-dump-journ[1186],1,5,0.391,0.064,0.078,0.118,13.22,0
kswapd0[123],2,156,555.503,0.006,3.560,42.085,11.08,0
JS Helper[81947/81935],-1,1,0.045,0.045,0.045,0.045,0.00,0
cat[81803],-1,1,1.463,1.463,1.463,1.463,0.00,0
gmain[81659/81657],81657,2,0.100,0.012,0.050,0.087,74.74,0
cat[81795],-1,1,1.040,1.040,1.040,1.040,0.00,0
dbus-broker[81651],81650,1406,30.849,0.004,0.021,1.446,5.34,0
gnome-shel:cs0[3555/3513],3513,3937,213.149,0.006,0.054,0.201,1.10,0
git[81931],-1,2,3.715,0.069,1.857,3.646,96.25,0
cat[81787],-1,1,0.946,0.946,0.946,0.946,0.00,0
codium[60539],60324,309,19.213,0.005,0.062,0.692,11.90,0
goa-identity-se[3979],3228,12,0.671,0.042,0.055,0.071,4.31,0
cpuUsage.sh[81923],-1,2,0.225,0.014,0.112,0.211,87.41,0
kworker/10:1-ev[66699],2,13,0.304,0.008,0.023,0.084,30.17,0
kworker/u49:9-b[79475],2,363,29.771,0.003,0.082,5.249,26.07,0
cpuUsage.sh[81915],-1,1,0.451,0.451,0.451,0.451,0.00,0
codium[60523/60516],60516,1,0.087,0.087,0.087,0.087,0.00,0
gmain[3531/3513],3513,16,1.190,0.063,0.074,0.098,2.89,0
systemd-userwor[81187],656,2,0.111,0.041,0.055,0.069,25.72,0
ThreadPoolForeg[60515/60424],60424,35,7.129,0.008,0.203,1.551,30.36,0
postgres[38835],38825,4,0.374,0.042,0.093,0.194,38.31,0
kworker/u50:12-[67107],2,63,39.566,0.003,0.628,5.996,25.27,0
ksoftirqd/5[67],2,10,0.176,0.005,0.017,0.040,20.42,0
ThreadPoolForeg[60499/60424],60424,221,138.110,0.006,0.624,15.669,12.33,0
pipewire[3507],3228,23,0.806,0.011,0.035,0.099,13.44,0
systemd-resolve[923],1,9,1.459,0.014,0.162,0.576,38.83,0
JS Helper[81739/81732],-1,1,0.020,0.020,0.020,0.020,0.00,0
gvfs-udisks2-vo[3931],3228,4,2.491,0.090,0.622,1.255,49.58,0
kworker/7:2-eve[77427],2,158,2.779,0.006,0.017,0.150,8.43,0
supertuxka:gl0[81731/81613],-1,1,0.051,0.051,0.051,0.051,0.00,0
stress[81587],81576,5207,57418.179,0.006,11.027,1574.996,4.94,0
libuv-worker[60627/60539],60539,27,0.594,0.007,0.022,0.047,11.36,0
Chrome_IOThread[60339/60324],60324,791,63.623,0.007,0.080,1.652,4.26,0
ksoftirqd/8[43],2,19,0.179,0.004,0.009,0.025,11.06,0
cat[81867],-1,1,0.951,0.951,0.951,0.951,0.00,0
supertu:disk$0[81723/81613],-1,1,0.024,0.024,0.024,0.024,0.00,0
stress[81579],81576,9365,55724.666,0.007,5.950,686.912,3.19,0
cat[81859],-1,1,0.176,0.176,0.176,0.176,0.00,0
gvfsd-fuse[81715/81704],81714,1,0.052,0.052,0.052,0.052,0.00,0
gopls[61043/60896],60896,6,0.224,0.025,0.037,0.067,18.99,0
gopls[60899/60896],60896,18,0.553,0.013,0.030,0.052,9.88,0
napi/phy0-0[891],2,14,0.195,0.008,0.013,0.018,5.77,0
git[81851],-1,1,0.469,0.469,0.469,0.469,0.00,0
Xwayland:gdrv0[8923/8914],8914,8,0.186,0.009,0.023,0.047,19.80,0
migration/0[19],2,20,0.232,0.007,0.011,0.022,8.05,0
cat[81843],-1,2,0.985,0.016,0.492,0.969,96.69,0
pool-spawner[81699/81698],81698,2,0.121,0.030,0.060,0.090,49.56,0
gdbus[1451/1436],1436,93,6.948,0.004,0.074,0.604,13.15,0
Xwayland:cs0[8915/8914],8914,6566,354.464,0.005,0.053,0.194,0.75,0
kworker/3:0-eve[70355],2,153,2.427,0.008,0.015,0.123,6.31,0
cat[81835],-1,2,1.089,0.017,0.544,1.072,96.87,0
[pango] fontcon[81691/81689],-1,1,1.836,1.836,1.836,1.836,0.00,0
xdg-desktop-por[4027],3228,80,5.044,0.008,0.063,0.221,11.33,0
kworker/u53:2-t[75803],2,31,0.248,0.004,0.008,0.026,8.84,0
kworker/8:1H-kb[291],2,86,1.479,0.007,0.017,0.065,8.32,0
cat[81827],-1,2,1.073,0.015,0.536,1.057,97.03,0
kthreadd[81683],2,2,0.014,0.005,0.007,0.008,16.06,0
Chrome_ChildIOT[60435/60431],60431,52,3.016,0.010,0.058,0.226,8.78,0
pool-5[81963/81652],81654,1,0.052,0.052,0.052,0.052,0.00,0
cat[81819],-1,1,1.186,1.186,1.186,1.186,0.00,0
xdg-desktop-por[81675],-1,1,0.838,0.838,0.838,0.838,0.00,0
codium[61003/60557],60557,6115,767.928,0.006,0.125,0.665,0.50,0
ThreadPoolForeg[60427/60424],60424,337,114.947,0.006,0.341,3.004,7.82,0
kworker/u49:13-[67747],2,172,65.153,0.004,0.378,6.002,18.76,0
git[81955],-1,2,10.308,0.027,5.154,10.281,99.47,0
cat[81811],-1,2,0.997,0.015,0.498,0.982,96.89,0
fuse mainloop[81667/81662],81662,3,0.965,0.098,0.321,0.483,35.85,0
pcscd[4147/2044],2044,2,0.059,0.014,0.029,0.044,50.09,0
gdbus[3715/3663],3663,354,70.285,0.006,0.198,3.048,7.38,0
kworker/2:2-cgr[72852],2,2,0.025,0.012,0.012,0.012,0.20,0
systemd[3228],1,44,16.658,0.014,0.378,3.289,25.49,0
btrfs-cleaner[500],2,3,0.086,0.010,0.028,0.064,62.18,0
kworker/u50:13-[67108],2,1305,173.792,0.003,0.133,4.536,8.42,0
postgres[38828],38825,7,0.385,0.015,0.055,0.199,44.44,0
supertux:gdrv0[81748/81613],-1,1,0.086,0.086,0.086,0.086,0.00,0
cat[81892],-1,2,0.945,0.015,0.472,0.930,96.76,0
ThreadPoolForeg[60500/60431],60431,4,0.626,0.022,0.156,0.486,70.47,0
migration/3[60],2,27,0.350,0.006,0.012,0.026,9.32,0
cat[81884],-1,1,1.317,1.317,1.317,1.317,0.00,0
kworker/u49:1-b[76428],2,22,16.205,0.010,0.736,2.993,25.51,0
Thread-4 (_thre[77428/1537],1537,60,3.569,0.046,0.059,0.124,2.85,0
cat[81876],-1,2,0.925,0.014,0.462,0.910,96.84,0
gjs[81732],-1,2,0.163,0.017,0.081,0.146,79.15,0
stress[81588],81576,5252,58411.207,0.006,11.121,630.400,4.21,0
codium[60628/60539],60539,251,4.436,0.007,0.017,0.062,4.15,0
ibus-x11[8948],3228,17,0.988,0.038,0.058,0.067,2.77,0
cat[81868],-1,1,0.916,0.916,0.916,0.916,0.00,0
supertuxka:sh0[81724/81613],-1,1,0.057,0.057,0.057,0.057,0.00,0
stress[81580],81576,8393,57345.486,0.007,6.832,500.512,3.54,0
mutter-x11-fram[8940],3513,1525,273.278,0.007,0.179,11.396,11.86,0
