Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
btrfs-cleaner:498,0.045 ms,2,avg:   0.036 ms,max:   0.053 ms,max start: 96340.224102 s,max end: 96340.224156 s
basename:(40),54.435 ms,53,avg:   0.035 ms,max:   0.834 ms,max start: 96374.696474 s,max end: 96374.697307 s
ctrl-c:(5),13.296 ms,10,avg:   0.035 ms,max:   0.042 ms,max start: 96376.032922 s,max end: 96376.032963 s
gnome-shell:3543,2051.645 ms,2933,avg:   0.035 ms,max:   0.993 ms,max start: 96361.668470 s,max end: 96361.669463 s
gvfs-afc-volume:4096,1.858 ms,44,avg:   0.034 ms,max:   0.246 ms,max start: 96377.370444 s,max end: 96377.370690 s
chmod:(49),54.822 ms,67,avg:   0.034 ms,max:   0.995 ms,max start: 96374.627473 s,max end: 96374.628468 s
rcu_preempt:16,221.876 ms,9457,avg:   0.033 ms,max:   3.343 ms,max start: 96357.499453 s,max end: 96357.502796 s
coordinator:(3),5.788 ms,16,avg:   0.033 ms,max:   0.071 ms,max start: 96376.361733 s,max end: 96376.361804 s
NetworkManager:1458,38.169 ms,193,avg:   0.033 ms,max:   0.921 ms,max start: 96346.681565 s,max end: 96346.682487 s
goa-identity-se:4047,0.748 ms,9,avg:   0.033 ms,max:   0.051 ms,max start: 96361.945462 s,max end: 96361.945513 s
sleep:(4),6.528 ms,11,avg:   0.033 ms,max:   0.123 ms,max start: 96356.889169 s,max end: 96356.889292 s
kworker/u49:6-b:342463,89.449 ms,647,avg:   0.032 ms,max:   0.938 ms,max start: 96347.633536 s,max end: 96347.634475 s
CacheThread_Blo:314630,0.119 ms,1,avg:   0.032 ms,max:   0.032 ms,max start: 96363.740458 s,max end: 96363.740491 s
make:(4),1043.588 ms,1975,avg:   0.032 ms,max:   0.979 ms,max start: 96378.326504 s,max end: 96378.327483 s
wsdd:16229,0.765 ms,3,avg:   0.031 ms,max:   0.038 ms,max start: 96382.955565 s,max end: 96382.955604 s
codium:(41),7502.366 ms,24803,avg:   0.031 ms,max:   2.344 ms,max start: 96357.511451 s,max end: 96357.513795 s
pwd:(61),61.561 ms,99,avg:   0.031 ms,max:   0.995 ms,max start: 96381.391469 s,max end: 96381.392465 s
kworker/u52:5-t:340515,0.526 ms,21,avg:   0.031 ms,max:   0.056 ms,max start: 96354.233887 s,max end: 96354.233943 s
rustc:(13),284.741 ms,36,avg:   0.030 ms,max:   0.047 ms,max start: 96376.144337 s,max end: 96376.144384 s
gmain:(8),8.598 ms,93,avg:   0.030 ms,max:   0.060 ms,max start: 96374.944462 s,max end: 96374.944521 s
postgres:(7),26.056 ms,56,avg:   0.030 ms,max:   0.116 ms,max start: 96381.900680 s,max end: 96381.900796 s
systemd-userdbd:654,0.948 ms,1,avg:   0.029 ms,max:   0.029 ms,max start: 96362.045820 s,max end: 96362.045850 s
sudo:334383,1.851 ms,26,avg:   0.029 ms,max:   0.233 ms,max start: 96377.455248 s,max end: 96377.455481 s
JS Helper:(4),3.825 ms,49,avg:   0.029 ms,max:   0.118 ms,max start: 96357.041354 s,max end: 96357.041472 s
build-script-bu:357999,1.287 ms,1,avg:   0.028 ms,max:   0.028 ms,max start: 96376.235065 s,max end: 96376.235094 s
dbus-broker:967,3.629 ms,71,avg:   0.028 ms,max:   0.143 ms,max start: 96361.663973 s,max end: 96361.664115 s
kworker/u52:1-t:344869,0.056 ms,2,avg:   0.028 ms,max:   0.031 ms,max start: 96363.334455 s,max end: 96363.334486 s
kworker/u52:6-t:340525,0.685 ms,28,avg:   0.028 ms,max:   0.089 ms,max start: 96379.309675 s,max end: 96379.309764 s
upowerd:987,4.160 ms,5,avg:   0.028 ms,max:   0.051 ms,max start: 96361.659458 s,max end: 96361.659510 s
kworker/u52:0-t:344868,0.057 ms,2,avg:   0.028 ms,max:   0.040 ms,max start: 96363.334461 s,max end: 96363.334500 s
wireplumber:3541,0.206 ms,1,avg:   0.028 ms,max:   0.028 ms,max start: 96361.663891 s,max end: 96361.663918 s
(udev-worker):356065,0.758 ms,1,avg:   0.027 ms,max:   0.027 ms,max start: 96340.684485 s,max end: 96340.684512 s
wpa_supplicant:1554,8.808 ms,40,avg:   0.027 ms,max:   0.062 ms,max start: 96356.111407 s,max end: 96356.111469 s
tclsh:358621,25.888 ms,7,avg:   0.027 ms,max:   0.033 ms,max start: 96377.278515 s,max end: 96377.278548 s
