Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/u49:3-b:339155,0.114 ms,1,avg:   0.030 ms,max:   0.030 ms,max start: 96408.627542 s,max end: 96408.627572 s
uname:(12),14.244 ms,12,avg:   0.028 ms,max:   0.085 ms,max start: 96403.950237 s,max end: 96403.950322 s
tr:(30),35.873 ms,30,avg:   0.028 ms,max:   0.293 ms,max start: 96408.759850 s,max end: 96408.760143 s
(udev-worker):359705,0.792 ms,1,avg:   0.027 ms,max:   0.027 ms,max start: 96405.684445 s,max end: 96405.684472 s
gssproxy:1543,0.329 ms,3,avg:   0.027 ms,max:   0.045 ms,max start: 96431.179994 s,max end: 96431.180038 s
date:362271,1.743 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 96434.368277 s,max end: 96434.368304 s
build-script-bu:361532,1.487 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 96433.062185 s,max end: 96433.062211 s
kworker/u49:17-:342547,0.077 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 96408.627617 s,max end: 96408.627643 s
kworker/u52:5-t:340515,0.137 ms,6,avg:   0.025 ms,max:   0.046 ms,max start: 96424.942066 s,max end: 96424.942111 s
mt76-tx phy0:1394,1.969 ms,54,avg:   0.025 ms,max:   0.097 ms,max start: 96415.181731 s,max end: 96415.181828 s
psimon:1017,9.798 ms,241,avg:   0.025 ms,max:   0.060 ms,max start: 96413.043468 s,max end: 96413.043528 s
Xwayland:26658,285.532 ms,2912,avg:   0.024 ms,max:   1.048 ms,max start: 96406.630465 s,max end: 96406.631512 s
systemd-udevd:670,0.585 ms,2,avg:   0.023 ms,max:   0.031 ms,max start: 96405.685234 s,max end: 96405.685264 s
systemd-resolve:934,0.931 ms,3,avg:   0.023 ms,max:   0.030 ms,max start: 96419.719943 s,max end: 96419.719974 s
systemd-userdbd:654,0.701 ms,1,avg:   0.023 ms,max:   0.023 ms,max start: 96437.300978 s,max end: 96437.301001 s
expr:(3),4.929 ms,3,avg:   0.022 ms,max:   0.035 ms,max start: 96404.235891 s,max end: 96404.235927 s
chmod:(49),58.086 ms,49,avg:   0.021 ms,max:   0.126 ms,max start: 96421.444485 s,max end: 96421.444611 s
pcscd:3999,0.104 ms,2,avg:   0.021 ms,max:   0.028 ms,max start: 96406.040558 s,max end: 96406.040586 s
basename:(40),57.330 ms,40,avg:   0.021 ms,max:   0.090 ms,max start: 96430.086669 s,max end: 96430.086759 s
mv:(31),60.508 ms,32,avg:   0.020 ms,max:   0.111 ms,max start: 96430.096243 s,max end: 96430.096355 s
dirname:(16),20.341 ms,16,avg:   0.020 ms,max:   0.028 ms,max start: 96434.341669 s,max end: 96434.341697 s
tclsh:362154,22.307 ms,4,avg:   0.019 ms,max:   0.031 ms,max start: 96434.020455 s,max end: 96434.020486 s
lto cgu.0:361542,7.485 ms,1,avg:   0.018 ms,max:   0.018 ms,max start: 96433.200686 s,max end: 96433.200704 s
btrfs-transacti:499,90.497 ms,141,avg:   0.018 ms,max:   0.170 ms,max start: 96430.689381 s,max end: 96430.689551 s
kworker/9:1H-kb:409,0.978 ms,39,avg:   0.018 ms,max:   0.027 ms,max start: 96424.139588 s,max end: 96424.139615 s
cargo:(5),54.070 ms,126,avg:   0.018 ms,max:   0.054 ms,max start: 96433.095410 s,max end: 96433.095465 s
generate-gitweb:(2),4.125 ms,5,avg:   0.017 ms,max:   0.024 ms,max start: 96439.341429 s,max end: 96439.341453 s
opt cgu.0:(2),10.562 ms,32,avg:   0.016 ms,max:   0.034 ms,max start: 96433.190434 s,max end: 96433.190468 s
echo:(15),13.254 ms,15,avg:   0.016 ms,max:   0.026 ms,max start: 96434.221709 s,max end: 96434.221735 s
migration/0:19,0.258 ms,10,avg:   0.015 ms,max:   0.019 ms,max start: 96407.619683 s,max end: 96407.619702 s
migration/10:48,0.226 ms,10,avg:   0.015 ms,max:   0.021 ms,max start: 96411.620364 s,max end: 96411.620385 s
migration/6:36,0.224 ms,10,avg:   0.015 ms,max:   0.023 ms,max start: 96419.620094 s,max end: 96419.620117 s
pwd:(61),60.771 ms,61,avg:   0.014 ms,max:   0.039 ms,max start: 96403.906761 s,max end: 96403.906799 s
migration/4:30,0.213 ms,10,avg:   0.013 ms,max:   0.018 ms,max start: 96431.619892 s,max end: 96431.619910 s
migration/8:42,0.236 ms,11,avg:   0.012 ms,max:   0.017 ms,max start: 96407.620263 s,max end: 96407.620281 s
gix::dirwalk::i:361518,9.416 ms,34,avg:   0.012 ms,max:   0.033 ms,max start: 96432.916952 s,max end: 96432.916985 s
migration/1:54,0.203 ms,10,avg:   0.012 ms,max:   0.016 ms,max start: 96431.619747 s,max end: 96431.619763 s
cut:360104,1.614 ms,1,avg:   0.011 ms,max:   0.011 ms,max start: 96408.759668 s,max end: 96408.759679 s
