comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
kworker/u49:3-e[71457],2,11328,576.686,0.002,0.050,12.704,3.66,0
kworker/u49:2-b[71449],2,6607,355.097,0.002,0.053,9.993,3.90,0
tuned[1537],1,15,1.232,0.066,0.082,0.126,5.43,0
kworker/u50:4-b[71873],2,4120,403.307,0.002,0.097,91.820,23.70,0
kworker/u50:9-b[79481],2,3735,204.767,0.002,0.054,17.859,11.40,0
cpuUsage.sh[81345],-1,1,0.461,0.461,0.461,0.461,0.00,0
JS Helper[3537/3513],3513,9,0.133,0.004,0.014,0.037,25.44,0
dbus-broker[953],952,9,0.435,0.004,0.048,0.199,44.50,0
gdbus[1034/973],973,1,0.102,0.102,0.102,0.102,0.00,0
napi/phy0-0[890],2,5,0.185,0.013,0.037,0.080,35.13,0
postgres[81274],-1,1,2.626,2.626,2.626,2.626,0.00,0
Xwayland[8914],3513,4939,362.776,0.006,0.073,0.655,1.62,0
codium[60442/60324],60324,48,1.354,0.011,0.028,0.059,5.97,0
kworker/5:1H-kb[290],2,591,8.801,0.005,0.014,0.074,1.58,0
codium[61002/60557],60557,1687,28.495,0.005,0.016,0.095,1.26,0
ThreadPoolForeg[60426/60424],60424,702,131.417,0.004,0.187,14.626,14.79,0
pool-1[3850/3768],3768,3,0.100,0.016,0.033,0.064,46.48,0
systemd-machine[970],1,92,4.859,0.023,0.052,0.246,7.46,0
codium[61978],60544,5,0.393,0.065,0.078,0.108,9.88,0
kworker/7:1H-kb[242],2,521,7.791,0.007,0.014,0.082,1.66,0
kworker/u50:10-[79482],2,4573,504.453,0.002,0.110,86.042,19.91,0
cat[81346],-1,1,1.172,1.172,1.172,1.172,0.00,0
JS Helper[3538/3513],3513,5,0.160,0.017,0.032,0.076,34.74,0
gmain[4970/4967],4967,4,0.198,0.046,0.049,0.053,3.18,0
kworker/u49:8-b[79474],2,6137,390.185,0.002,0.063,7.295,4.91,0
cat[81338],-1,1,1.141,1.141,1.141,1.141,0.00,0
gdbus[3818/3758],3758,4,0.748,0.040,0.187,0.393,39.63,0
cat[81330],-1,1,1.408,1.408,1.408,1.408,0.00,0
systemd-userwor[81186],656,33,3.726,0.019,0.112,1.056,28.98,0
ThreadPoolForeg[60514/60424],60424,47,43.243,0.011,0.920,6.672,19.70,0
codium[60370],60324,4,1.700,0.387,0.425,0.484,5.44,0
postgres[38834],38825,4374,77.157,0.005,0.017,0.739,3.99,0
cat[81322],-1,1,1.010,1.010,1.010,1.010,0.00,0
kworker/u50:11-[67106],2,5481,512.316,0.002,0.093,85.975,17.67,0
migration/5[66],2,7,0.075,0.004,0.010,0.022,22.31,0
git[81314],-1,1,4.904,4.904,4.904,4.904,0.00,0
kworker/7:1-eve[47002],2,79,1.198,0.004,0.015,0.314,25.65,0
postgres[81306],-1,1,9.383,9.383,9.383,9.383,0.00,0
codium[60346/60324],60324,1,0.072,0.072,0.072,0.072,0.00,0
postgres[81298],-1,2,8.781,3.857,4.390,4.924,12.16,0
libuv-worker[60626/60539],60539,8,0.182,0.008,0.022,0.042,19.90,0
scx-adapt[81154/81146],81146,21,0.899,0.007,0.042,0.213,30.54,0
mt76-tx phy0[1194],2,6,0.083,0.006,0.013,0.024,22.85,0
migration/8[42],2,5,0.042,0.005,0.008,0.011,12.17,0
DedicatedWorker[77130/60424],60424,20,4.443,0.020,0.222,0.571,15.03,0
postgres[81290],-1,1,10.086,10.086,10.086,10.086,0.00,0
codium[60618/60544],60544,532,10.511,0.005,0.019,0.112,2.45,0
abrt-dump-journ[1186],1,1,0.076,0.076,0.076,0.076,0.00,0
kswapd0[123],2,101,465.050,0.004,4.604,17.094,12.84,0
gnome-shel:cs0[3555/3513],3513,503,50.144,0.008,0.099,0.188,1.43,0
codium[60539],60324,47,4.565,0.015,0.097,0.682,23.32,0
goa-identity-se[3979],3228,3,0.168,0.043,0.056,0.063,11.25,0
cpuUsage.sh[81347],-1,1,0.396,0.396,0.396,0.396,0.00,0
kworker/10:1-ev[66699],2,109,1.496,0.004,0.013,0.029,3.42,0
kworker/u49:9-b[79475],2,7514,461.735,0.002,0.061,16.059,5.09,0
GDM userdb work[1667/1643],1643,96,3.946,0.022,0.041,0.127,4.90,0
cpuUsage.sh[81339],-1,1,0.440,0.440,0.440,0.440,0.00,0
codium[60523/60516],60516,1,0.041,0.041,0.041,0.041,0.00,0
gmain[3531/3513],3513,5,0.325,0.026,0.065,0.084,15.77,0
cpuUsage.sh[81331],-1,1,0.446,0.446,0.446,0.446,0.00,0
systemd-userwor[81187],656,33,3.146,0.019,0.095,0.270,16.50,0
ThreadPoolForeg[60515/60424],60424,34,9.635,0.005,0.283,2.207,32.91,0
postgres[38835],38825,4,0.461,0.043,0.115,0.286,50.07,0
cat[81323],-1,2,1.456,0.019,0.728,1.436,97.26,0
postgres[38827],38825,1,0.099,0.099,0.099,0.099,0.00,0
