comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
ln[358351,-1,2,1.165,0.017,0.582,1.148,96.92,0
cc[357775,-1,1,0.459,0.459,0.459,0.459,0.00,0
cc[357631,-1,1,0.476,0.476,0.476,0.476,0.00,0
cc[357487,-1,1,0.521,0.521,0.521,0.521,0.00,0
cc[357343,-1,1,0.551,0.551,0.551,0.551,0.00,0
cc[357055,-1,2,0.850,0.023,0.425,0.826,94.45,0
cc[356623,-1,1,0.582,0.582,0.582,0.582,0.00,0
cc[358919,-1,1,0.503,0.503,0.503,0.503,0.00,0
cc[357191,-1,1,0.630,0.630,0.630,0.630,0.00,0
cc[358767,-1,1,0.449,0.449,0.449,0.449,0.00,0
ln[358479,-1,1,0.323,0.323,0.323,0.323,0.00,0
ln[358335,-1,1,1.051,1.051,1.051,1.051,0.00,0
ln[358191,-1,2,1.057,0.022,0.528,1.034,95.73,0
ln[358047,-1,2,1.085,0.022,0.542,1.062,95.84,0
cc[356607,-1,1,0.567,0.567,0.567,0.567,0.00,0
cc[359047,-1,1,0.444,0.444,0.444,0.444,0.00,0
cc[356319,-1,1,0.564,0.564,0.564,0.564,0.00,0
ln[358471,-1,1,0.213,0.213,0.213,0.213,0.00,0
ld[358039,-1,1,99.278,99.278,99.278,99.278,0.00,0
cc[357751,-1,1,0.518,0.518,0.518,0.518,0.00,0
cc[357463,-1,1,0.655,0.655,0.655,0.655,0.00,0
cc[359471,-1,1,0.581,0.581,0.581,0.581,0.00,0
cc[356887,-1,1,0.532,0.532,0.532,0.532,0.00,0
ld[358031,-1,7,5.974,0.103,0.853,0.991,14.66,0
cc[357743,-1,1,0.647,0.647,0.647,0.647,0.00,0
cc[357167,-1,1,0.660,0.660,0.660,0.660,0.00,0
cc[359463,-1,1,0.595,0.595,0.595,0.595,0.00,0
cc[356447,-1,1,0.509,0.509,0.509,0.509,0.00,0
cc[358743,-1,1,0.379,0.379,0.379,0.379,0.00,0
ln[358455,-1,2,0.747,0.013,0.373,0.734,96.39,0
ln[358311,-1,2,0.976,0.011,0.488,0.965,97.74,0
ln[358167,-1,1,1.028,1.028,1.028,1.028,0.00,0
cc[356727,-1,1,0.483,0.483,0.483,0.483,0.00,0
cc[359167,-1,1,0.521,0.521,0.521,0.521,0.00,0
cc[356583,-1,1,0.576,0.576,0.576,0.576,0.00,0
ln[358303,-1,2,1.139,0.013,0.569,1.125,97.60,0
cc[358015,-1,1,0.408,0.408,0.408,0.408,0.00,0
cc[357727,-1,1,0.560,0.560,0.560,0.560,0.00,0
cc[357583,-1,2,0.738,0.031,0.369,0.707,91.52,0
cc[357007,-1,2,0.796,0.029,0.398,0.766,92.58,0
cc[356719,-1,1,0.541,0.541,0.541,0.541,0.00,0
cc[356575,-1,1,0.607,0.607,0.607,0.607,0.00,0
cc[357719,-1,1,0.641,0.641,0.641,0.641,0.00,0
cc[356999,-1,1,0.604,0.604,0.604,0.604,0.00,0
ln[358431,-1,2,1.141,0.153,0.570,0.987,73.13,0
ln[358287,-1,1,0.974,0.974,0.974,0.974,0.00,0
ln[358143,-1,2,1.118,0.019,0.559,1.098,96.53,0
cc[357279,-1,2,0.807,0.031,0.403,0.775,92.09,0
cc[359431,-1,1,0.684,0.684,0.684,0.684,0.00,0
cc[356847,-1,1,0.613,0.613,0.613,0.613,0.00,0
cc[359143,-1,1,0.601,0.601,0.601,0.601,0.00,0
ln[358135,-1,2,1.207,0.014,0.603,1.193,97.58,0
cc[357847,-1,1,0.708,0.708,0.708,0.708,0.00,0
cc[357703,-1,1,1.048,1.048,1.048,1.048,0.00,0
cc[357127,-1,2,0.888,0.035,0.444,0.853,91.95,0
cc[356983,-1,1,0.581,0.581,0.581,0.581,0.00,0
cc[358991,-1,1,0.652,0.652,0.652,0.652,0.00,0
cc[359415,-1,1,0.530,0.530,0.530,0.530,0.00,0
cc[356831,-1,1,0.503,0.503,0.503,0.503,0.00,0
ln[358407,-1,2,1.329,0.011,0.664,1.318,98.34,0
ln[358263,-1,1,1.026,1.026,1.026,1.026,0.00,0
ln[358119,-1,1,0.178,0.178,0.178,0.178,0.00,0
cc[357255,-1,1,0.641,0.641,0.641,0.641,0.00,0
cc[357111,-1,1,0.575,0.575,0.575,0.575,0.00,0
cc[356967,-1,2,0.753,0.029,0.376,0.723,92.10,0
cc[359407,-1,1,0.548,0.548,0.548,0.548,0.00,0
cc[356823,-1,1,0.557,0.557,0.557,0.557,0.00,0
cc[359119,-1,1,0.855,0.855,0.855,0.855,0.00,0
cc[358975,-1,1,0.644,0.644,0.644,0.644,0.00,0
ln[358399,-1,2,1.171,0.077,0.585,1.093,86.75,0
ln[358255,-1,1,1.153,1.153,1.153,1.153,0.00,0
ln[358111,-1,2,1.139,0.013,0.569,1.126,97.64,0
cc[357823,-1,1,0.644,0.644,0.644,0.644,0.00,0
cc[357679,-1,1,0.517,0.517,0.517,0.517,0.00,0
cc[357535,-1,1,0.511,0.511,0.511,0.511,0.00,0
cc[356959,-1,1,0.551,0.551,0.551,0.551,0.00,0
cc[358967,-1,1,0.515,0.515,0.515,0.515,0.00,0
cc[357527,-1,1,0.580,0.580,0.580,0.580,0.00,0
cc[357239,-1,1,0.582,0.582,0.582,0.582,0.00,0
cc[356375,-1,1,0.788,0.788,0.788,0.788,0.00,0
ln[358383,-1,1,1.091,1.091,1.091,1.091,0.00,0
ln[358239,-1,2,0.760,0.017,0.380,0.742,95.36,0
ln[358095,-1,2,1.107,0.018,0.553,1.089,96.73,0
