Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
wireplumber:3541,0.262 ms,1,avg:   0.044 ms,max:   0.044 ms,max start: 96271.581217 s,max end: 96271.581261 s
gnome-shel:cs0:3583,8.738 ms,59,avg:   0.043 ms,max:   0.153 ms,max start: 96278.944299 s,max end: 96278.944452 s
napi/phy0-0:(3),15.927 ms,339,avg:   0.043 ms,max:   2.054 ms,max start: 96280.521418 s,max end: 96280.523472 s
kworker/u49:18-:343023,50.869 ms,347,avg:   0.042 ms,max:   1.580 ms,max start: 96281.405475 s,max end: 96281.407055 s
tuned-ppd:1593,3.676 ms,37,avg:   0.041 ms,max:   0.066 ms,max start: 96273.794284 s,max end: 96273.794350 s
Thread-4 (_thre:341687,3.618 ms,37,avg:   0.041 ms,max:   0.238 ms,max start: 96279.845625 s,max end: 96279.845864 s
Xwayland:cs0:26659,5.041 ms,44,avg:   0.041 ms,max:   0.250 ms,max start: 96283.146583 s,max end: 96283.146833 s
kworker/u52:2-t:340222,0.181 ms,8,avg:   0.041 ms,max:   0.108 ms,max start: 96283.139068 s,max end: 96283.139177 s
Compositor:314668,118.942 ms,606,avg:   0.041 ms,max:   2.021 ms,max start: 96252.933459 s,max end: 96252.935480 s
CacheThread_Blo:314630,0.163 ms,2,avg:   0.041 ms,max:   0.051 ms,max start: 96273.675458 s,max end: 96273.675510 s
ld:(22),6050.428 ms,1883,avg:   0.041 ms,max:   2.030 ms,max start: 96280.584457 s,max end: 96280.586487 s
systemd-udevd:670,0.486 ms,2,avg:   0.040 ms,max:   0.056 ms,max start: 96250.684333 s,max end: 96250.684388 s
kworker/u48:2-d:340477,16.703 ms,126,avg:   0.040 ms,max:   0.502 ms,max start: 96283.385662 s,max end: 96283.386163 s
kworker/u48:3-c:339486,86.752 ms,558,avg:   0.040 ms,max:   2.022 ms,max start: 96255.857453 s,max end: 96255.859475 s
crond:1658,0.071 ms,1,avg:   0.040 ms,max:   0.040 ms,max start: 96260.227709 s,max end: 96260.227749 s
gsd-sharing:3788,0.435 ms,4,avg:   0.039 ms,max:   0.062 ms,max start: 96264.002268 s,max end: 96264.002330 s
ctrl-c:(5),17.814 ms,10,avg:   0.039 ms,max:   0.055 ms,max start: 96279.924071 s,max end: 96279.924127 s
JS Helper:(4),3.119 ms,39,avg:   0.039 ms,max:   0.115 ms,max start: 96265.968366 s,max end: 96265.968481 s
gvfsd-wsdd:16224,0.663 ms,4,avg:   0.039 ms,max:   0.045 ms,max start: 96277.955926 s,max end: 96277.955971 s
msgfmt:(51),1927.534 ms,719,avg:   0.039 ms,max:   2.042 ms,max start: 96282.293453 s,max end: 96282.295495 s
sleep:(5),6.097 ms,9,avg:   0.039 ms,max:   0.067 ms,max start: 96270.027390 s,max end: 96270.027457 s
gvfs-afc-volume:4096,1.521 ms,38,avg:   0.039 ms,max:   0.064 ms,max start: 96279.271455 s,max end: 96279.271519 s
cc:(578),2821.459 ms,3560,avg:   0.039 ms,max:   2.045 ms,max start: 96264.431427 s,max end: 96264.433472 s
kworker/u49:15-:342545,105.584 ms,437,avg:   0.039 ms,max:   1.010 ms,max start: 96250.399483 s,max end: 96250.400492 s
rustc:(13),292.244 ms,37,avg:   0.038 ms,max:   0.095 ms,max start: 96279.923475 s,max end: 96279.923570 s
gssproxy:1543,0.442 ms,4,avg:   0.038 ms,max:   0.054 ms,max start: 96251.179458 s,max end: 96251.179512 s
make:(4),1071.228 ms,1977,avg:   0.037 ms,max:   1.242 ms,max start: 96250.081242 s,max end: 96250.082485 s
codium:(32),4648.960 ms,16199,avg:   0.037 ms,max:   2.025 ms,max start: 96276.440463 s,max end: 96276.442489 s
tuned:1551,4.160 ms,38,avg:   0.037 ms,max:   0.073 ms,max start: 96269.287285 s,max end: 96269.287358 s
sssd_kcm:336673,3.001 ms,22,avg:   0.037 ms,max:   0.074 ms,max start: 96257.007227 s,max end: 96257.007301 s
postgres:(5),8.186 ms,25,avg:   0.036 ms,max:   0.060 ms,max start: 96283.461459 s,max end: 96283.461520 s
libuv-worker:(12),2.827 ms,76,avg:   0.036 ms,max:   0.177 ms,max start: 96283.149652 s,max end: 96283.149828 s
tr:(30),37.887 ms,39,avg:   0.036 ms,max:   0.261 ms,max start: 96254.403019 s,max end: 96254.403280 s
kworker/u49:0-b:342430,42.550 ms,153,avg:   0.036 ms,max:   0.583 ms,max start: 96281.672682 s,max end: 96281.673265 s
chronyd:975,1.411 ms,8,avg:   0.034 ms,max:   0.050 ms,max start: 96261.453340 s,max end: 96261.453391 s
DedicatedWorker:342286,2.053 ms,3,avg:   0.034 ms,max:   0.048 ms,max start: 96283.441837 s,max end: 96283.441885 s
gnome-software:3923,0.116 ms,1,avg:   0.034 ms,max:   0.034 ms,max start: 96271.581907 s,max end: 96271.581941 s
