Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/u49:18-:343023,105.882 ms,1721,avg:   0.029 ms,max:   2.180 ms,max start: 96233.470288 s,max end: 96233.472468 s
kworker/u53:5-t:340492,0.081 ms,4,avg:   0.028 ms,max:   0.037 ms,max start: 96235.879963 s,max end: 96235.880000 s
KMS thread:3578,34.444 ms,231,avg:   0.028 ms,max:   0.062 ms,max start: 96232.951114 s,max end: 96232.951176 s
cmp:(4),4.676 ms,6,avg:   0.028 ms,max:   0.037 ms,max start: 96204.604681 s,max end: 96204.604718 s
wireplumber:3541,0.408 ms,2,avg:   0.027 ms,max:   0.031 ms,max start: 96241.548828 s,max end: 96241.548859 s
kworker/u49:9-b:342470,5.196 ms,62,avg:   0.027 ms,max:   0.821 ms,max start: 96235.621143 s,max end: 96235.621965 s
collect2:(22),37.582 ms,71,avg:   0.027 ms,max:   0.089 ms,max start: 96242.224314 s,max end: 96242.224403 s
kworker/9:1H-kb:409,4.446 ms,71,avg:   0.027 ms,max:   0.071 ms,max start: 96212.763407 s,max end: 96212.763479 s
expr:(3),6.095 ms,7,avg:   0.027 ms,max:   0.052 ms,max start: 96233.327705 s,max end: 96233.327756 s
kworker/u49:6-e:342463,116.589 ms,1062,avg:   0.027 ms,max:   1.853 ms,max start: 96228.727631 s,max end: 96228.729485 s
gsd-color:3719,0.206 ms,1,avg:   0.027 ms,max:   0.027 ms,max start: 96236.516701 s,max end: 96236.516727 s
kworker/u50:26-:339785,43.357 ms,199,avg:   0.027 ms,max:   1.629 ms,max start: 96235.632834 s,max end: 96235.634463 s
psimon:1017,2.324 ms,79,avg:   0.026 ms,max:   0.126 ms,max start: 96234.035474 s,max end: 96234.035599 s
DedicatedWorker:342286,5.710 ms,6,avg:   0.026 ms,max:   0.039 ms,max start: 96235.915582 s,max end: 96235.915621 s
ld:(22),5747.120 ms,188,avg:   0.026 ms,max:   0.695 ms,max start: 96240.843502 s,max end: 96240.844197 s
generate-gitweb:(2),5.108 ms,5,avg:   0.025 ms,max:   0.038 ms,max start: 96242.487269 s,max end: 96242.487307 s
lto cgu.0:347770,7.938 ms,3,avg:   0.024 ms,max:   0.031 ms,max start: 96236.665708 s,max end: 96236.665739 s
wpa_supplicant:1554,10.676 ms,48,avg:   0.024 ms,max:   0.052 ms,max start: 96227.112454 s,max end: 96227.112506 s
basename:(40),54.679 ms,57,avg:   0.024 ms,max:   0.075 ms,max start: 96233.382544 s,max end: 96233.382619 s
btrfs-transacti:499,189.003 ms,126,avg:   0.023 ms,max:   0.128 ms,max start: 96212.654513 s,max end: 96212.654641 s
kworker/u52:1-t:344869,0.225 ms,10,avg:   0.022 ms,max:   0.036 ms,max start: 96216.516387 s,max end: 96216.516423 s
tclsh:348382,24.007 ms,23,avg:   0.022 ms,max:   0.030 ms,max start: 96237.497786 s,max end: 96237.497816 s
kworker/u49:11-:342471,5.411 ms,43,avg:   0.022 ms,max:   0.337 ms,max start: 96235.636299 s,max end: 96235.636635 s
kworker/u50:2-b:342506,26.673 ms,123,avg:   0.021 ms,max:   0.135 ms,max start: 96236.007941 s,max end: 96236.008076 s
opt cgu.0:(2),14.915 ms,25,avg:   0.021 ms,max:   0.041 ms,max start: 96236.393990 s,max end: 96236.394031 s
uname:(12),12.838 ms,14,avg:   0.020 ms,max:   0.028 ms,max start: 96203.922359 s,max end: 96203.922387 s
kworker/u50:40-:339799,0.010 ms,1,avg:   0.019 ms,max:   0.019 ms,max start: 96235.955596 s,max end: 96235.955615 s
msgfmt:(51),1906.025 ms,115,avg:   0.019 ms,max:   0.085 ms,max start: 96237.476201 s,max end: 96237.476286 s
build-script-bu:347760,0.960 ms,1,avg:   0.019 ms,max:   0.019 ms,max start: 96236.511876 s,max end: 96236.511895 s
cat:(142),218.608 ms,180,avg:   0.019 ms,max:   0.061 ms,max start: 96217.559459 s,max end: 96217.559520 s
kworker/u50:3-b:342528,6.070 ms,145,avg:   0.019 ms,max:   0.323 ms,max start: 96235.636320 s,max end: 96235.636643 s
dirname:(16),16.853 ms,17,avg:   0.018 ms,max:   0.025 ms,max start: 96237.640293 s,max end: 96237.640317 s
ar:347724,179.320 ms,240,avg:   0.018 ms,max:   0.038 ms,max start: 96235.664234 s,max end: 96235.664272 s
migration/0:19,0.252 ms,11,avg:   0.018 ms,max:   0.036 ms,max start: 96219.619679 s,max end: 96219.619716 s
mkdir:(65),87.804 ms,68,avg:   0.018 ms,max:   0.036 ms,max start: 96238.531616 s,max end: 96238.531651 s
systemd-udevd:670,0.408 ms,2,avg:   0.018 ms,max:   0.020 ms,max start: 96204.684351 s,max end: 96204.684371 s
migration/6:36,0.224 ms,11,avg:   0.017 ms,max:   0.028 ms,max start: 96203.620095 s,max end: 96203.620123 s
curl-config:(4),7.866 ms,7,avg:   0.017 ms,max:   0.027 ms,max start: 96236.748537 s,max end: 96236.748565 s
migration/2:24,0.239 ms,11,avg:   0.016 ms,max:   0.027 ms,max start: 96203.619887 s,max end: 96203.619914 s
date:348499,0.987 ms,1,avg:   0.016 ms,max:   0.016 ms,max start: 96237.701796 s,max end: 96237.701813 s
kworker/10:1H-k:117,1.720 ms,59,avg:   0.016 ms,max:   0.036 ms,max start: 96212.780337 s,max end: 96212.780374 s
pcscd:3999,0.060 ms,2,avg:   0.016 ms,max:   0.024 ms,max start: 96225.860961 s,max end: 96225.860985 s
ln:(148),165.929 ms,166,avg:   0.015 ms,max:   0.141 ms,max start: 96237.403337 s,max end: 96237.403477 s
kworker/u49:5-b:339752,0.448 ms,9,avg:   0.015 ms,max:   0.043 ms,max start: 96235.643071 s,max end: 96235.643114 s
rm:(154),149.240 ms,159,avg:   0.014 ms,max:   0.102 ms,max start: 96237.374501 s,max end: 96237.374602 s
kworker/11:1H-k:410,0.578 ms,23,avg:   0.014 ms,max:   0.022 ms,max start: 96235.629396 s,max end: 96235.629418 s
awk:349171,4.401 ms,1,avg:   0.014 ms,max:   0.014 ms,max start: 96241.018648 s,max end: 96241.018663 s
kworker/8:1H-kb:285,1.463 ms,66,avg:   0.014 ms,max:   0.032 ms,max start: 96233.523459 s,max end: 96233.523491 s
