Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/11:2-mm:64043,3.849 ms,110,avg:   0.080 ms,max:   1.007 ms,max start: 32089.523469 s,max end: 32089.524476 s
ksoftirqd/2:25,1.315 ms,52,avg:   0.078 ms,max:   0.358 ms,max start: 32093.653726 s,max end: 32093.654085 s
sed:(150),363.029 ms,225,avg:   0.076 ms,max:   2.002 ms,max start: 32110.717484 s,max end: 32110.719486 s
gnome-shell:3513,702.770 ms,1221,avg:   0.076 ms,max:   2.997 ms,max start: 32093.495471 s,max end: 32093.498467 s
kcompactd0:100,1.659 ms,68,avg:   0.075 ms,max:   1.009 ms,max start: 32096.979465 s,max end: 32096.980474 s
mutter-x11-fram:8940,11.846 ms,109,avg:   0.073 ms,max:   1.314 ms,max start: 32093.488626 s,max end: 32093.489940 s
ksoftirqd/0:15,2.712 ms,88,avg:   0.073 ms,max:   2.793 ms,max start: 32107.978478 s,max end: 32107.981271 s
btrfs-transacti:501,24.193 ms,34,avg:   0.071 ms,max:   1.826 ms,max start: 32105.584645 s,max end: 32105.586471 s
gsd-power:3714,0.051 ms,1,avg:   0.070 ms,max:   0.070 ms,max start: 32088.037750 s,max end: 32088.037820 s
pool-0:3990,1.945 ms,31,avg:   0.070 ms,max:   0.927 ms,max start: 32085.945533 s,max end: 32085.946460 s
libuv-worker:(12),7.738 ms,206,avg:   0.070 ms,max:   1.141 ms,max start: 32094.163466 s,max end: 32094.164607 s
kworker/u50:3:76463,127.834 ms,738,avg:   0.068 ms,max:   6.575 ms,max start: 32110.636449 s,max end: 32110.643024 s
kworker/0:2-mm_:66128,12.050 ms,209,avg:   0.067 ms,max:   1.011 ms,max start: 32090.363467 s,max end: 32090.364479 s
sh:(450),935.897 ms,1810,avg:   0.066 ms,max:   7.011 ms,max start: 32110.714459 s,max end: 32110.721470 s
Xwayland:cs0:8915,48.523 ms,486,avg:   0.065 ms,max:   1.423 ms,max start: 32092.620175 s,max end: 32092.621598 s
kworker/9:0-mm_:49052,3.949 ms,137,avg:   0.064 ms,max:   1.222 ms,max start: 32088.030763 s,max end: 32088.031985 s
collect2:(22),34.080 ms,75,avg:   0.063 ms,max:   1.663 ms,max start: 32109.019805 s,max end: 32109.021467 s
ThreadPoolServi:60425,1.304 ms,17,avg:   0.062 ms,max:   0.512 ms,max start: 32103.098201 s,max end: 32103.098713 s
localsearch-3:3912,0.067 ms,1,avg:   0.060 ms,max:   0.060 ms,max start: 32099.040454 s,max end: 32099.040515 s
kworker/u50:11-:67106,170.908 ms,1239,avg:   0.060 ms,max:   8.033 ms,max start: 32110.648458 s,max end: 32110.656490 s
sort:(6),12.580 ms,21,avg:   0.060 ms,max:   0.572 ms,max start: 32079.961517 s,max end: 32079.962089 s
kworker/8:0-mm_:62405,4.423 ms,130,avg:   0.059 ms,max:   1.012 ms,max start: 32084.403464 s,max end: 32084.404475 s
sudo:77480,1.047 ms,25,avg:   0.059 ms,max:   0.708 ms,max start: 32109.730237 s,max end: 32109.730945 s
Xwayland:8914,184.728 ms,1987,avg:   0.057 ms,max:   1.429 ms,max start: 32093.487059 s,max end: 32093.488488 s
rustc:(13),401.992 ms,184,avg:   0.056 ms,max:   2.095 ms,max start: 32108.313966 s,max end: 32108.316061 s
rm:(154),156.924 ms,240,avg:   0.056 ms,max:   1.287 ms,max start: 32109.419627 s,max end: 32109.420915 s
napi/phy0-0:(3),31.213 ms,663,avg:   0.056 ms,max:   2.533 ms,max start: 32109.391045 s,max end: 32109.393578 s
kworker/5:0-mm_:64300,4.135 ms,137,avg:   0.055 ms,max:   1.004 ms,max start: 32086.003457 s,max end: 32086.004461 s
codium:gdrv0:60390,4.109 ms,31,avg:   0.055 ms,max:   0.991 ms,max start: 32097.098486 s,max end: 32097.099476 s
sssd_kcm:57248,3.155 ms,24,avg:   0.054 ms,max:   0.719 ms,max start: 32085.946746 s,max end: 32085.947466 s
kworker/u50:4-b:71873,328.458 ms,1401,avg:   0.054 ms,max:   4.779 ms,max start: 32110.523676 s,max end: 32110.528455 s
kthreadd:(10),519.075 ms,3751,avg:   0.053 ms,max:   8.010 ms,max start: 32110.652454 s,max end: 32110.660464 s
kworker/u50:0-b:63229,159.085 ms,1114,avg:   0.053 ms,max:   5.167 ms,max start: 32107.956452 s,max end: 32107.961618 s
goa-identity-se:3979,0.599 ms,7,avg:   0.052 ms,max:   0.141 ms,max start: 32105.945450 s,max end: 32105.945591 s
gvfsd-dnssd:17497,0.118 ms,1,avg:   0.051 ms,max:   0.051 ms,max start: 32088.032520 s,max end: 32088.032571 s
gmain:(10),7.914 ms,77,avg:   0.051 ms,max:   1.013 ms,max start: 32112.003461 s,max end: 32112.004475 s
KMS thread:3551,96.816 ms,725,avg:   0.050 ms,max:   1.242 ms,max start: 32092.475237 s,max end: 32092.476478 s
sleep:(4),6.331 ms,9,avg:   0.050 ms,max:   0.262 ms,max start: 32083.706895 s,max end: 32083.707157 s
codium:(44),5471.804 ms,19176,avg:   0.050 ms,max:  11.028 ms,max start: 32093.489484 s,max end: 32093.500511 s
Thread-4 (_thre:77428,3.415 ms,34,avg:   0.049 ms,max:   0.525 ms,max start: 32100.561943 s,max end: 32100.562468 s
systemd-userwor:(3),0.529 ms,6,avg:   0.049 ms,max:   0.131 ms,max start: 32085.555488 s,max end: 32085.555619 s
ksoftirqd/10:49,0.799 ms,56,avg:   0.049 ms,max:   0.363 ms,max start: 32092.233810 s,max end: 32092.234173 s
kworker/u51:2-h:902,3.901 ms,113,avg:   0.049 ms,max:   0.986 ms,max start: 32094.243478 s,max end: 32094.244464 s
kworker/7:1-mm_:47002,6.560 ms,196,avg:   0.049 ms,max:   1.006 ms,max start: 32094.772458 s,max end: 32094.773464 s
ksoftirqd/11:85,0.562 ms,28,avg:   0.048 ms,max:   0.359 ms,max start: 32092.703789 s,max end: 32092.704148 s
tuned:1537,3.978 ms,34,avg:   0.048 ms,max:   0.687 ms,max start: 32105.597779 s,max end: 32105.598465 s
cpuUsage.sh:(57),138.794 ms,423,avg:   0.048 ms,max:   0.435 ms,max start: 32099.181746 s,max end: 32099.182181 s
kworker/3:0-eve:70355,5.202 ms,183,avg:   0.048 ms,max:   1.011 ms,max start: 32109.492448 s,max end: 32109.493459 s
awk:80908,5.423 ms,6,avg:   0.048 ms,max:   0.188 ms,max start: 32113.114016 s,max end: 32113.114204 s
