comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
cc[350726,-1,1,0.554,0.554,0.554,0.554,0.00,0
cc[350294,-1,1,0.769,0.769,0.769,0.769,0.00,0
cc[350150,-1,1,0.754,0.754,0.754,0.754,0.00,0
cc[350006,-1,1,0.830,0.830,0.830,0.830,0.00,0
cc[352302,-1,1,0.549,0.549,0.549,0.549,0.00,0
ln[351438,-1,2,1.106,0.014,0.553,1.091,97.39,0
ln[351294,-1,2,1.248,0.056,0.624,1.192,91.03,0
cc[352150,-1,1,0.679,0.679,0.679,0.679,0.00,0
cc[350134,-1,1,0.583,0.583,0.583,0.583,0.00,0
cc[349990,-1,1,0.593,0.593,0.593,0.593,0.00,0
cc[349846,-1,1,0.672,0.672,0.672,0.672,0.00,0
ln[351278,-1,2,1.074,0.015,0.537,1.058,97.04,0
cc[350990,-1,1,0.632,0.632,0.632,0.632,0.00,0
cc[350702,-1,1,0.638,0.638,0.638,0.638,0.00,0
cc[350558,-1,1,0.659,0.659,0.659,0.659,0.00,0
cc[352278,-1,1,0.613,0.613,0.613,0.613,0.00,0
cc[352134,-1,1,0.504,0.504,0.504,0.504,0.00,0
ln[351414,-1,2,1.037,0.018,0.518,1.019,96.43,0
ln[351270,-1,1,1.010,1.010,1.010,1.010,0.00,0
cc[350550,-1,1,0.704,0.704,0.704,0.704,0.00,0
cc[350118,-1,1,0.754,0.754,0.754,0.754,0.00,0
cc[349686,-1,1,0.726,0.726,0.726,0.726,0.00,0
cc[350830,-1,1,0.641,0.641,0.641,0.641,0.00,0
cc[350254,-1,1,0.534,0.534,0.534,0.534,0.00,0
cc[350110,-1,1,0.612,0.612,0.612,0.612,0.00,0
cc[349966,-1,1,0.790,0.790,0.790,0.790,0.00,0
cc[349390,-1,1,0.612,0.612,0.612,0.612,0.00,0
ln[351254,-1,1,1.084,1.084,1.084,1.084,0.00,0
cc[350534,-1,1,0.561,0.561,0.561,0.561,0.00,0
cc[350246,-1,1,0.628,0.628,0.628,0.628,0.00,0
cc[352254,-1,1,0.608,0.608,0.608,0.608,0.00,0
ld[351966,-1,3,6.416,1.966,2.138,2.481,8.01,0
ln[351534,-1,2,1.091,0.013,0.545,1.077,97.50,0
ln[351390,-1,1,0.998,0.998,0.998,0.998,0.00,0
cc[349950,-1,1,0.580,0.580,0.580,0.580,0.00,0
cc[352335,-1,1,0.530,0.530,0.530,0.530,0.00,0
ln[351471,-1,1,1.089,1.089,1.089,1.089,0.00,0
ln[351327,-1,2,1.018,0.019,0.509,0.998,96.17,0
cc[350895,-1,1,0.588,0.588,0.588,0.588,0.00,0
cc[350751,-1,1,0.563,0.563,0.563,0.563,0.00,0
cc[350319,-1,1,0.579,0.579,0.579,0.579,0.00,0
cc[352615,-1,1,0.550,0.550,0.550,0.550,0.00,0
cc[352327,-1,1,0.688,0.688,0.688,0.688,0.00,0
cc[349599,-1,1,0.578,0.578,0.578,0.578,0.00,0
ln[351607,-1,2,1.188,0.013,0.594,1.174,97.69,0
ln[351319,-1,2,1.112,0.012,0.556,1.100,97.80,0
cc[349879,-1,2,1.155,0.027,0.577,1.127,95.24,0
cc[349591,-1,1,0.745,0.745,0.745,0.745,0.00,0
cc[351023,-1,1,0.705,0.705,0.705,0.705,0.00,0
cc[350303,-1,1,0.688,0.688,0.688,0.688,0.00,0
cc[352311,-1,1,0.645,0.645,0.645,0.645,0.00,0
ln[351591,-1,1,1.019,1.019,1.019,1.019,0.00,0
ln[351303,-1,1,0.912,0.912,0.912,0.912,0.00,0
cc[351015,-1,1,0.595,0.595,0.595,0.595,0.00,0
